case,case,date cleared,call description,location,police zone,police grid,city council,x-coordinate,y-coordinate,x_gps_coords,y_gps_coords
SL2016463,SL2016463,01/01/2016 12:00:00 AM,VEHICLE THEFT,5XX S 900 E                                                                                             ,Z5,151,4,1899098,883261,-111.864961466621,40.7576208961458
SL2016117,SL2016117,01/01/2016 12:00:00 AM,DOMESTIC/PHYSICAL INVESTIGATION,3XX W 300 S                                                                                             ,Z3,132,4,1889023,885223,-111.901358346004,40.7628875469413
SL2016427,SL2016427,01/01/2016 12:00:00 AM,TRESPASSING/UNWANTED - IND/SMALL GROUP,9XX N CHURCHILL DR                                                                                      ,Z3,131,3,1891429,895330,-111.892833671834,40.790656783851
SL2016463,SL2016463,01/01/2016 12:00:00 AM,VEHICLE THEFT,5XX S 900 E,Z5,151,4,1899098,883261,-111.864961466621,40.7576208961458
SL2016117,SL2016117,01/01/2016 12:00:00 AM,DOMESTIC/PHYSICAL INVESTIGATION,3XX W 300 S,Z3,132,4,1889023,885223,-111.901358346004,40.7628875469413
SL2016427,SL2016427,01/01/2016 12:00:00 AM,TRESPASSING/UNWANTED - IND/SMALL GROUP,9XX N CHURCHILL DR,Z3,131,3,1891429,895330,-111.892833671834,40.790656783851
SL2016463,SL2016463,01/01/2016 12:00:00 AM,VEHICLE THEFT,5XX S 900 E,Z5,151,4,1899098,883261,-111.864961466621,40.7576208961458
SL2016117,SL2016117,01/01/2016 12:00:00 AM,DOMESTIC/PHYSICAL INVESTIGATION,3XX W 300 S,Z3,132,4,1889023,885223,-111.901358346004,40.7628875469413
SL2016427,SL2016427,01/01/2016 12:00:00 AM,TRESPASSING/UNWANTED - IND/SMALL GROUP,9XX N CHURCHILL DR,Z3,131,3,1891429,895330,-111.892833671834,40.790656783851
SL2016463,SL2016463,01/01/2016 12:00:00 AM,VEHICLE THEFT,5XX S 900 E,Z5,151,4,1899098,883261,-111.864961466621,40.7576208961458
SL2016117,SL2016117,01/01/2016 12:00:00 AM,DOMESTIC/PHYSICAL INVESTIGATION,3XX W 300 S,Z3,132,4,1889023,885223,-111.901358346004,40.7628875469413
SL2016427,SL2016427,01/01/2016 12:00:00 AM,TRESPASSING/UNWANTED - IND/SMALL GROUP,9XX N CHURCHILL DR,Z3,131,3,1891429,895330,-111.892833671834,40.790656783851
SL2016463,SL2016463,01/01/2016 12:00:00 AM,VEHICLE THEFT,5XX S 900 E,Z5,151,4,1899098,883261,-111.864961466621,40.7576208961458
SL2016117,SL2016117,01/01/2016 12:00:00 AM,DOMESTIC/PHYSICAL INVESTIGATION,3XX W 300 S,Z3,132,4,1889023,885223,-111.901358346004,40.7628875469413
SL2016427,SL2016427,01/01/2016 12:00:00 AM,TRESPASSING/UNWANTED - IND/SMALL GROUP,9XX N CHURCHILL DR,Z3,131,3,1891429,895330,-111.892833671834,40.790656783851
SL2016463,SL2016463,01/01/2016 12:00:00 AM,VEHICLE THEFT,5XX S 900 E,Z5,151,4,1899098,883261,-111.864961466621,40.7576208961458
SL2016117,SL2016117,01/01/2016 12:00:00 AM,DOMESTIC/PHYSICAL INVESTIGATION,3XX W 300 S,Z3,132,4,1889023,885223,-111.901358346004,40.7628875469413
SL2016427,SL2016427,01/01/2016 12:00:00 AM,TRESPASSING/UNWANTED - IND/SMALL GROUP,9XX N CHURCHILL DR,Z3,131,3,1891429,895330,-111.892833671834,40.790656783851
SL2016463,SL2016463,01/01/2016 12:00:00 AM,VEHICLE THEFT,5XX S 900 E,Z5,151,4,1899098,883261,-111.864961466621,40.7576208961458
